ENSMUSG00000028255	-10.9122
ENSMUSG00000029561	-9.23614
ENSMUSG00000049350	-8.42446
ENSMUSG00000019278	-7.59685
ENSMUSG00000025498	-7.58712
ENSMUSG00000037921	-7.20869
ENSMUSG00000057346	-6.94848
ENSMUSG00000071711	-6.94078
ENSMUSG00000078566	-6.93484
ENSMUSG00000032661	-6.82783
ENSMUSG00000035692	-6.40618
ENSMUSG00000023067	-6.21753
ENSMUSG00000067206	-6.04342
ENSMUSG00000053279	-6.01922
ENSMUSG00000025993	-5.9852
ENSMUSG00000026701	-5.79002
ENSMUSG00000033355	-5.62954
ENSMUSG00000030103	-5.59377
ENSMUSG00000035105	-5.51388
ENSMUSG00000037685	-5.42167
ENSMUSG00000074896	-5.41395
ENSMUSG00000006494	-5.40942
ENSMUSG00000030483	-5.21461
ENSMUSG00000001123	-5.14779
ENSMUSG00000040703	-4.98178
ENSMUSG00000030208	-4.97186
ENSMUSG00000001891	-4.96939
ENSMUSG00000022546	-4.96403
ENSMUSG00000032038	-4.9572
ENSMUSG00000030921	-4.86973
ENSMUSG00000002565	-4.86707
ENSMUSG00000032116	-4.7882
ENSMUSG00000027456	-4.69374
ENSMUSG00000022906	-4.67579
ENSMUSG00000057963	-4.67043
ENSMUSG00000024747	-4.59588
ENSMUSG00000020607	-4.58728
ENSMUSG00000058672	-4.46468
ENSMUSG00000092618	-4.45645
ENSMUSG00000030278	-4.44619
ENSMUSG00000020023	-4.39875
ENSMUSG00000031844	-4.32304
ENSMUSG00000001627	-4.30013
ENSMUSG00000024789	-4.26327
ENSMUSG00000025885	-4.2426
ENSMUSG00000093930	-4.23763
ENSMUSG00000050761	-4.20266
ENSMUSG00000074272	-4.19218
ENSMUSG00000032802	-4.18483
ENSMUSG00000049502	-4.16398
ENSMUSG00000033717	-4.14008
ENSMUSG00000024743	-4.11889
ENSMUSG00000028755	-4.10559
ENSMUSG00000038412	-4.09983
ENSMUSG00000032324	-4.09052
ENSMUSG00000020097	-4.08279
ENSMUSG00000028943	-4.07793
ENSMUSG00000035699	-4.03003
ENSMUSG00000036123	-3.9851
ENSMUSG00000037321	-3.98414
ENSMUSG00000019916	-3.97872
ENSMUSG00000057596	-3.94853
ENSMUSG00000034947	-3.9188
ENSMUSG00000025467	-3.91355
ENSMUSG00000035093	-3.90962
ENSMUSG00000051483	-3.90381
ENSMUSG00000026094	-3.90133
ENSMUSG00000036427	-3.89897
ENSMUSG00000013418	-3.88929
ENSMUSG00000023073	-3.88851
ENSMUSG00000020592	-3.86231
ENSMUSG00000027377	-3.85476
ENSMUSG00000068246	-3.85051
ENSMUSG00000042745	-3.84203
ENSMUSG00000020740	-3.84202
ENSMUSG00000026342	-3.80643
ENSMUSG00000044393	-3.78745
ENSMUSG00000068874	-3.76163
ENSMUSG00000041737	-3.76084
ENSMUSG00000000275	-3.74906
ENSMUSG00000021250	-3.74004
ENSMUSG00000002325	-3.73619
ENSMUSG00000028967	-3.70066
ENSMUSG00000072214	-3.69991
ENSMUSG00000026062	-3.69659
ENSMUSG00000025647	-3.69657
ENSMUSG00000078853	-3.69214
ENSMUSG00000046733	-3.68917
ENSMUSG00000025791	-3.67216
ENSMUSG00000116466	-3.67216
ENSMUSG00000024953	-3.66693
ENSMUSG00000000078	-3.6625
ENSMUSG00000045679	-3.63893
ENSMUSG00000068547	-3.61725
ENSMUSG00000032690	-3.59945
ENSMUSG00000021831	-3.59575
ENSMUSG00000027875	-3.58323
ENSMUSG00000040033	-3.55555
ENSMUSG00000002992	-3.53314
ENSMUSG00000091705	-3.52169
ENSMUSG00000029772	-3.50667
ENSMUSG00000057143	-3.50656
ENSMUSG00000028088	-3.49507
ENSMUSG00000005514	-3.45756
ENSMUSG00000028037	-3.45166
ENSMUSG00000045294	-3.44062
ENSMUSG00000025091	-3.42081
ENSMUSG00000034918	-3.41903
ENSMUSG00000045094	-3.41541
ENSMUSG00000090946	-3.41481
ENSMUSG00000031938	-3.41352
ENSMUSG00000035429	-3.40714
ENSMUSG00000033880	-3.39511
ENSMUSG00000054057	-3.38129
ENSMUSG00000028337	-3.3638
ENSMUSG00000110573	-3.35542
ENSMUSG00000022900	-3.35539
ENSMUSG00000079037	-3.34297
ENSMUSG00000019943	-3.33789
ENSMUSG00000057666	-3.31422
ENSMUSG00000093867	-3.29566
ENSMUSG00000026341	-3.29488
ENSMUSG00000062410	-3.28216
ENSMUSG00000029153	-3.2634
ENSMUSG00000034422	-3.26066
ENSMUSG00000034765	-3.24906
ENSMUSG00000024222	-3.24882
ENSMUSG00000032369	-3.22953
ENSMUSG00000062488	-3.21689
ENSMUSG00000079507	-3.21423
ENSMUSG00000023175	-3.20577
ENSMUSG00000034371	-3.191
ENSMUSG00000039878	-3.18318
ENSMUSG00000073420	-3.17774
ENSMUSG00000047517	-3.16244
ENSMUSG00000029385	-3.16177
ENSMUSG00000056144	-3.14275
ENSMUSG00000054414	-3.12394
ENSMUSG00000055748	-3.10991
ENSMUSG00000022051	-3.10707
ENSMUSG00000007872	-3.10353
ENSMUSG00000033213	-3.08471
ENSMUSG00000110868	-3.08471
ENSMUSG00000022938	-3.08405
ENSMUSG00000034459	-3.08039
ENSMUSG00000027957	-3.07861
ENSMUSG00000005615	-3.07758
ENSMUSG00000026437	-3.0735
ENSMUSG00000030160	-3.07095
ENSMUSG00000055371	-3.06813
ENSMUSG00000056313	-3.03961
ENSMUSG00000006418	-3.03813
