"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000055320"	397.724435462197	0.859069328398237	0.196725783158548	4.36683648988646	1.26059023265557e-05	0.00246844148618984
"ENSMUSG00000030921"	24.7324542363424	-2.28507051469498	0.525077568948461	-4.35187227531189	1.34979892001903e-05	NA
"ENSMUSG00000002565"	104.409196420053	-2.34101997182156	0.538099828318326	-4.35053097700799	1.35808266939647e-05	0.00260616064257183
"ENSMUSG00000032116"	657.236072192469	-0.701264991076033	0.162685942837528	-4.31054446896114	1.62853074451624e-05	0.002986411325599
"ENSMUSG00000019139"	409.344475864647	0.899987070884504	0.20885084806591	4.30923349949953	1.63821334735291e-05	0.002986411325599
"ENSMUSG00000051910"	51.5352858123954	1.69298701744995	0.39301411627988	4.30770027671044	1.64960708970034e-05	0.002986411325599
"ENSMUSG00000042303"	691.46607569942	0.827618615825974	0.192629115329533	4.29643574082846	1.7356625066595e-05	0.00307328009533757
"ENSMUSG00000016494"	81.372125319828	2.31465296736507	0.539151719430144	4.29313843200118	1.76165091447177e-05	0.00307328009533757
"ENSMUSG00000027456"	655.253500738929	-1.07756603821542	0.252819165320046	-4.26220075859884	2.02423462325352e-05	0.00343959158704689
"ENSMUSG00000047539"	193.395910237712	0.879249064966319	0.206391475003199	4.26010359658843	2.04332173487934e-05	0.00343959158704689
"ENSMUSG00000022906"	314.462783383264	-0.909610411845719	0.213877185362164	-4.25295671581544	2.10966366079265e-05	0.00347345342070011
"ENSMUSG00000057963"	1024.03601054589	-0.774533836601577	0.182234867769675	-4.25019561887852	2.13583899761653e-05	0.00347345342070011
"ENSMUSG00000040433"	217.325621755439	1.13687702684094	0.269618635358755	4.21661145687577	2.48000737822694e-05	0.00396594513234792
"ENSMUSG00000024747"	166.762078372038	-1.10723206643081	0.262901473598981	-4.21158562283199	2.53584399770775e-05	0.00398875789475505
"ENSMUSG00000020607"	84.8030537934657	-1.58982389815734	0.377889730270285	-4.20711062198017	2.58656544256106e-05	0.00400291861635054
"ENSMUSG00000058672"	84.0414614391666	-1.53818838136943	0.371287789461008	-4.14284666781634	3.43021295245139e-05	0.0052242687744081
"ENSMUSG00000092618"	174.974187832692	-1.4683818758095	0.354809912943159	-4.13850296241509	3.49579359738116e-05	0.00524095930732379
"ENSMUSG00000030278"	39.717764813662	-2.17979421275211	0.527402267337289	-4.13307706043301	3.57938649066836e-05	0.00528372513507121
"ENSMUSG00000036676"	167.406312644586	0.948093826891505	0.230292076117136	4.11691901378866	3.83970921153523e-05	0.00558212270980008
"ENSMUSG00000020023"	415.254744467798	-0.992515650272689	0.24161073119831	-4.10791211694173	3.99251956088631e-05	0.00571764555025434
"ENSMUSG00000075014"	172.987522319734	3.03607840434887	0.740989902733042	4.09732763314412	4.1794716223605e-05	0.00589735738478662
"ENSMUSG00000031844"	507.750789131182	-1.38034507536311	0.339363126695328	-4.06745744242965	4.75288851747354e-05	0.00660927033697951
"ENSMUSG00000001627"	133.1621127222	-1.13534696939263	0.279977059957252	-4.05514283765239	5.0103676138135e-05	0.00686778246493436
"ENSMUSG00000024789"	588.083151716266	-0.694165262882757	0.172024938020168	-4.03525948546701	5.45419857252169e-05	0.00737085004272473
"ENSMUSG00000025885"	1259.89732665972	-0.798972180753817	0.198548176454928	-4.02407211700174	5.72003884989888e-05	0.00760494418518998
"ENSMUSG00000093930"	2143.71219148219	-0.69161588414666	0.171984924681194	-4.02137504452032	5.78593981780999e-05	0.00760494418518998
"ENSMUSG00000050761"	19.1973164142348	-3.33914245990859	0.834291065288032	-4.00237111343842	6.27108311405574e-05	NA
"ENSMUSG00000027889"	362.432914045024	0.835868096561512	0.208938593672406	4.00054428370503	6.31969589221565e-05	0.00819425433592016
"ENSMUSG00000074272"	10818.6770060601	-0.589595314045758	0.147522004509052	-3.99666013221491	6.42424305404526e-05	0.00821874828047524
"ENSMUSG00000032802"	497.922301386122	-0.778464157166379	0.19497420411372	-3.99265205725541	6.53384076979429e-05	0.00824897397186529
"ENSMUSG00000049502"	300.978604725538	-0.954829437665673	0.239831350635906	-3.9812536398347	6.85527493972943e-05	0.00854238481126024
"ENSMUSG00000033717"	306.858044442696	-1.57972024538296	0.398098906109929	-3.9681602263603	7.24296318702369e-05	0.00890977330506312
